region_id,matched_legend_id,match_score,symbol_final,symbol_terminal,symbol_html,symbol_latex,symbol_conf,legend_text,legend_color_name,legend_color_rgb,area_px,centroid_x,centroid_y
2561,4,1.0,Unknown,Unknown,,Unknown,0.0,,greenyellow,"[213, 242, 64]",3967,1721.4460431654677,4402.956834532374
2562,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",7818,3633.65625,4407.953125
2563,35,0.995532112333564,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",9118,3795.025,4407.4
2564,20,0.9841742982703132,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[161, 221, 40]",901,171.42424242424244,4388.727272727273
2565,20,0.9628780659063522,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[161, 221, 40]",684,204.55263157894737,4399.6578947368425
2566,34,0.747336700307971,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1639,129.71428571428572,4399.0
2567,3,1.0,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",3348,4730.7875,4407.4625
2568,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1576,6378.0,4403.0
2569,20,1.0,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[161, 221, 40]",3732,252.63114754098362,4403.901639344263
2570,25,1.0,Unknown,Unknown,,Unknown,0.0,,limegreen,"[64, 236, 83]",22236,2155.45,4358.05
2571,12,1.0,Unknown,Unknown,,Unknown,0.0,,wheat,"[229, 204, 160]",33153,1498.741935483871,4270.693548387097
2572,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",11380,357.5689655172414,4432.862068965517
2573,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",33024,588.1363636363636,4399.704545454545
2574,20,0.9937131387186741,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[161, 221, 40]",1826,181.66666666666666,4431.833333333333
2575,53,0.9932503392248803,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",3715,3579.5142857142855,4410.742857142857
2576,35,0.92590838931215,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",17281,4102.3432835820895,4427.5970149253735
2577,34,0.7275408727145927,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1737,142.5,4423.142857142857
2578,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",4041,3699.472222222222,4422.75
2579,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1501,6378.0,4423.285714285715
2580,12,1.0,Unknown,Unknown,,Unknown,0.0,,wheat,"[229, 204, 160]",3417,1559.3103448275863,4422.862068965517
2581,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",5616,4263.136363636364,4428.488636363636
2582,53,0.9910534075742287,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",2429,3502.1475409836066,4442.459016393443
2583,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",52797,1258.774193548387,4429.612903225807
2584,64,1.0,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",15774,689.5348837209302,4438.790697674419
2585,12,1.0,Unknown,Unknown,,Unknown,0.0,,wheat,"[229, 204, 160]",7267,1663.6458333333333,4442.354166666667
